seed,method,filter,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count
0,unconditional,fixed,0.384855231200618,0.0,0.0,4753.425796128182,800,0
0,periodic,fixed,0.5810151863947653,4.5,9.0,4753.425796128182,80,0
0,event,fixed,0.44702130754320957,5.1675,37.0,4753.425796128182,161,0
0,proposed,fixed,0.41362438700111415,1.31375,15.0,4753.425796128182,55,414
1,unconditional,fixed,0.4097948057221413,0.0,0.0,8281.202560120073,800,0
1,periodic,fixed,0.5566079937964764,4.5,9.0,8281.202560120073,80,0
1,event,fixed,0.469098310048803,6.285,36.0,8281.202560120073,156,0
1,proposed,fixed,0.43249818684883357,1.37125,16.0,8281.202560120073,59,393
2,unconditional,fixed,0.39372321307902886,0.0,0.0,4934.194415504619,800,0
2,periodic,fixed,0.5609752031321728,4.5,9.0,4934.194415504619,80,0
2,event,fixed,0.45386242364689106,8.2125,45.0,4934.194415504619,151,0
2,proposed,fixed,0.42373237788267154,1.625,14.0,4934.194415504619,68,368
3,unconditional,fixed,0.3266215091048412,0.0,0.0,3589.197076194335,800,0
3,periodic,fixed,0.5182985719779443,4.5,9.0,3589.197076194335,80,0
3,event,fixed,0.3968026026223175,7.31625,43.0,3589.197076194335,150,0
3,proposed,fixed,0.3565738582198789,1.36375,12.0,3589.197076194335,50,409
4,unconditional,fixed,0.3345063647277139,0.0,0.0,3765.291142055838,800,0
4,periodic,fixed,0.5320518280414642,4.5,9.0,3765.291142055838,80,0
4,event,fixed,0.4059638003863959,4.56375,34.0,3765.291142055838,168,0
4,proposed,fixed,0.35808919750761065,1.36,20.0,3765.291142055838,48,452
5,unconditional,fixed,0.34573390171261076,0.0,0.0,3970.8308278547815,800,0
5,periodic,fixed,0.5179314693926534,4.5,9.0,3970.8308278547815,80,0
5,event,fixed,0.4109836128498423,8.96875,72.0,3970.8308278547815,144,0
5,proposed,fixed,0.3701625098878988,1.77875,18.0,3970.8308278547815,57,356
6,unconditional,fixed,0.34265334091585026,0.0,0.0,3956.1105394341675,800,0
6,periodic,fixed,0.5028808464779639,4.5,9.0,3956.1105394341675,80,0
6,event,fixed,0.4099315478262219,6.92125,61.0,3956.1105394341675,153,0
6,proposed,fixed,0.366099483865889,1.59125,20.0,3956.1105394341675,53,393
7,unconditional,fixed,0.3566130665832083,0.0,0.0,4791.53686208789,800,0
7,periodic,fixed,0.5619685568244231,4.5,9.0,4791.53686208789,80,0
7,event,fixed,0.42084113191571715,6.56,48.0,4791.53686208789,156,0
7,proposed,fixed,0.37834630311034106,1.4325,19.0,4791.53686208789,53,412
8,unconditional,fixed,0.3315058594989207,0.0,0.0,3672.439333729741,800,0
8,periodic,fixed,0.47019896924885474,4.5,9.0,3672.439333729741,80,0
8,event,fixed,0.39768059973819997,6.25875,44.0,3672.439333729741,150,0
8,proposed,fixed,0.35271296685742737,1.48875,20.0,3672.439333729741,52,394
9,unconditional,fixed,0.36214946381393975,0.0,0.0,6332.212289984303,800,0
9,periodic,fixed,0.5247211861055121,4.5,9.0,6332.212289984303,80,0
9,event,fixed,0.4277154178362887,5.63125,36.0,6332.212289984303,155,0
9,proposed,fixed,0.38347726393364967,1.60875,20.0,6332.212289984303,47,402
10,unconditional,fixed,0.34187011851262994,0.0,0.0,3931.616928841153,800,0
10,periodic,fixed,0.5177850221942966,4.5,9.0,3931.616928841153,80,0
10,event,fixed,0.4147496159584633,5.59625,37.0,3931.616928841153,154,0
10,proposed,fixed,0.36761408045652494,1.54,17.0,3931.616928841153,53,402
11,unconditional,fixed,0.29944176554305,0.0,0.0,2990.1851820311836,800,0
11,periodic,fixed,0.4827434000107819,4.5,9.0,2990.1851820311836,80,0
11,event,fixed,0.36370275341809133,8.3825,47.0,2990.1851820311836,126,0
11,proposed,fixed,0.3170512218286751,1.8375,16.0,2990.1851820311836,46,356
12,unconditional,fixed,0.36378994423015504,0.0,0.0,4476.846338332353,800,0
12,periodic,fixed,0.5529078660572746,4.5,9.0,4476.846338332353,80,0
12,event,fixed,0.4262858663863269,6.53875,35.0,4476.846338332353,160,0
12,proposed,fixed,0.38626457371482753,1.75625,20.0,4476.846338332353,55,397
13,unconditional,fixed,0.3737786601750517,0.0,0.0,4552.381213904066,800,0
13,periodic,fixed,0.5518547977356759,4.5,9.0,4552.381213904066,80,0
13,event,fixed,0.43548804188291523,7.32,42.0,4552.381213904066,148,0
13,proposed,fixed,0.3969549792136906,1.6825,20.0,4552.381213904066,63,361
14,unconditional,fixed,0.35206106432724765,0.0,0.0,4156.750630854606,800,0
14,periodic,fixed,0.5501842303462906,4.5,9.0,4156.750630854606,80,0
14,event,fixed,0.4150080839204184,7.10875,50.0,4156.750630854606,135,0
14,proposed,fixed,0.3741577197033901,1.54375,15.0,4156.750630854606,52,370
15,unconditional,fixed,0.3344803488915255,0.0,0.0,3676.193008256645,800,0
15,periodic,fixed,0.5150862523683102,4.5,9.0,3676.193008256645,80,0
15,event,fixed,0.40133436045360055,6.89375,38.0,3676.193008256645,140,0
15,proposed,fixed,0.35559172045779697,1.55,19.0,3676.193008256645,50,376
16,unconditional,fixed,0.37603907599130215,0.0,0.0,4574.85449553881,800,0
16,periodic,fixed,0.6114873141041164,4.5,9.0,4574.85449553881,80,0
16,event,fixed,0.4415891363733547,7.34875,44.0,4574.85449553881,146,0
16,proposed,fixed,0.3973016766264275,1.68125,20.0,4574.85449553881,51,374
17,unconditional,fixed,0.37148191866195807,0.0,0.0,4467.869092511379,800,0
17,periodic,fixed,0.46912004306094846,4.5,9.0,4467.869092511379,80,0
17,event,fixed,0.4360906382660197,9.60375,66.0,4467.869092511379,141,0
17,proposed,fixed,0.39811593756369573,2.04625,20.0,4467.869092511379,60,345
18,unconditional,fixed,0.3426688910702749,0.0,0.0,3935.054704162462,800,0
18,periodic,fixed,0.5387978443168794,4.5,9.0,3935.054704162462,80,0
18,event,fixed,0.40415190058756745,6.69875,32.0,3935.054704162462,140,0
18,proposed,fixed,0.36645394204709525,1.73875,16.0,3935.054704162462,59,352
19,unconditional,fixed,0.35609456016788893,0.0,0.0,4238.584332130528,800,0
19,periodic,fixed,0.49968602297819315,4.5,9.0,4238.584332130528,80,0
19,event,fixed,0.425425149829246,7.60125,51.0,4238.584332130528,149,0
19,proposed,fixed,0.3782362306175967,1.795,19.0,4238.584332130528,58,378
20,unconditional,fixed,0.3016507640439525,0.0,0.0,3074.3398044504365,800,0
20,periodic,fixed,0.4714374219907036,4.5,9.0,3074.3398044504365,80,0
20,event,fixed,0.36918801154085784,9.1125,58.0,3074.3398044504365,130,0
20,proposed,fixed,0.32218205309704895,1.98,18.0,3074.3398044504365,45,342
21,unconditional,fixed,0.29990848808068205,0.0,0.0,3030.518578305942,800,0
21,periodic,fixed,0.4847652442619471,4.5,9.0,3030.518578305942,80,0
21,event,fixed,0.3690347026359019,6.62625,44.0,3030.518578305942,143,0
21,proposed,fixed,0.31723382583212767,1.2825,18.0,3030.518578305942,46,399
22,unconditional,fixed,0.38040864119795403,0.0,0.0,4688.7802256314335,800,0
22,periodic,fixed,0.5561881696154791,4.5,9.0,4688.7802256314335,80,0
22,event,fixed,0.4369162056603706,7.35625,57.0,4688.7802256314335,160,0
22,proposed,fixed,0.3997449204000235,1.57125,20.0,4688.7802256314335,55,408
23,unconditional,fixed,0.35126294165720845,0.0,0.0,4025.7534500263528,800,0
23,periodic,fixed,0.5263085992560121,4.5,9.0,4025.7534500263528,80,0
23,event,fixed,0.4139024230626461,6.98625,39.0,4025.7534500263528,142,0
23,proposed,fixed,0.37547812076310355,1.61375,14.0,4025.7534500263528,52,364
24,unconditional,fixed,0.4007778580814059,0.0,0.0,4996.058525948919,800,0
24,periodic,fixed,0.5845322275374457,4.5,9.0,4996.058525948919,80,0
24,event,fixed,0.46159286249153697,8.0075,46.0,4996.058525948919,158,0
24,proposed,fixed,0.4212727112841339,1.3975,14.0,4996.058525948919,68,382
25,unconditional,fixed,0.31908929792280816,0.0,0.0,3330.172836965892,800,0
25,periodic,fixed,0.46479732595125395,4.5,9.0,3330.172836965892,80,0
25,event,fixed,0.3908369581046331,6.11,48.0,3330.172836965892,156,0
25,proposed,fixed,0.34237344328604397,1.4125,13.0,3330.172836965892,45,400
26,unconditional,fixed,0.34602459674963004,0.0,0.0,3939.573852954711,800,0
26,periodic,fixed,0.5127227178965977,4.5,9.0,3939.573852954711,80,0
26,event,fixed,0.4147771297713755,6.66875,53.0,3939.573852954711,156,0
26,proposed,fixed,0.3744228095612367,1.5825,16.0,3939.573852954711,56,378
27,unconditional,fixed,0.31869334571976343,0.0,0.0,3360.422360836969,800,0
27,periodic,fixed,0.5448692846414915,4.5,9.0,3360.422360836969,80,0
27,event,fixed,0.379828345067324,6.8325,35.0,3360.422360836969,127,0
27,proposed,fixed,0.33758508708097174,1.83875,19.0,3360.422360836969,39,343
28,unconditional,fixed,0.3842064301596792,0.0,0.0,4719.005730634927,800,0
28,periodic,fixed,0.6316612514794762,4.5,9.0,4719.005730634927,80,0
28,event,fixed,0.43996432507601446,7.395,41.0,4719.005730634927,141,0
28,proposed,fixed,0.40488416403850425,2.155,20.0,4719.005730634927,62,338
29,unconditional,fixed,0.38968133983594777,0.0,0.0,4869.18118732145,800,0
29,periodic,fixed,0.5818045011842953,4.5,9.0,4869.18118732145,80,0
29,event,fixed,0.4533169461408514,5.36125,44.0,4869.18118732145,161,0
29,proposed,fixed,0.4126383125341117,1.37375,20.0,4869.18118732145,64,405
