condition,controller_label,pre_fault_error_m,fault_error_m,post_fault_error_m,degradation_pct,post_degradation_pct,peak_error_spike_m,recovery_time_s,settling_time_s,rmse_m,max_formation_deformation_m,spacing_violation_count,time_above_safety_s,control_effort_total,mean_connectivity,mean_comm_health,stable_run_fraction,security_DR,security_FAR,security_AA,security_raw_AA,security_TTD_s,security_DisR,security_FCA_m,fault_error_std,fault_error_ci95,rmse_ci95
nominal,failure_aware,0.1584752320170182,0.1622584505261578,0.1528399424282069,2.387472518124413,-3.555762594188701,0.1723790327319924,0.0,0.0,0.1632066127968028,0.0150576917109467,0.0,0.0,128.93445118914255,1.0,1.0,1.0,0.0001388888888888,0.0002777777777777,,,,,0.005797142603084,0.0002787123475286,9.973593266715876e-05,5.9511949011668607e-05
nominal,generic,0.2786252572547282,0.2839859146275234,0.264766814039741,1.9242940100294177,-4.973616606695817,0.2981428615077798,0.0,0.0,0.2820032647981472,0.2202978415333376,0.0,0.0,87.55959742736246,1.0,1.0,1.0,0.0001388888888888,0.0002777777777777,,,,,0.0064797463982096,0.0006259481520158,0.0002239926694893,9.596230684096454e-05
nominal,pid,0.2772754575113509,0.2847266724506728,0.2649205074176643,2.6876300171837366,-4.455588939651368,0.2983971614871338,0.0,0.0,0.2791294796176474,0.0153537578545071,0.0,0.0,87.50384261363783,1.0,1.0,1.0,0.0001388888888888,0.0002777777777777,,,,,0.0064804603226154,0.0006257995459256,0.0002239394914829,9.64337990132699e-05
wind,failure_aware,0.1584752320170182,0.1505625804992217,0.1319852331314324,-4.99273286301568,-16.715398008598033,0.2691659095570722,0.0,1.0256944444444442,0.1596773140516223,0.0150571736184278,0.0,0.0,135.11514443620234,1.0,1.0,1.0,0.0003472222222222,0.0002777777777777,0.0,0.4139583333333333,,1.0,0.0058028745164055,0.0003130076244202,0.0001120083398898,6.126085897168689e-05
wind,generic,0.2786252572547282,0.3917925063446776,0.2487571894650526,40.61671630585397,-10.719582755376711,0.7155658965594225,11.355555555555556,1.6409722222222212,0.32251178105716,0.2237161359139418,0.0,0.0,96.50718245835375,1.0,1.0,1.0,0.0002777777777777,0.0002777777777777,0.0,0.4125694444444444,,1.0,0.043754759032873,0.0006500790601117,0.0002326278040515,0.0001106428988832
wind,pid,0.2772754575113509,0.3961009441776423,0.2440691328797893,42.855118526401746,-11.97572063849393,0.630092138755077,11.25138888888889,1.5027777777777775,0.3193560780863064,0.0152840272904992,0.0,0.0,96.30363880806571,1.0,1.0,1.0,0.0002777777777777,0.0002777777777777,0.0,0.4126388888888889,,1.0,0.0064602663796768,0.0006657483973103,0.0002382350043554,0.0001135898074507
sensor,failure_aware,0.1584752320170182,1.2315086274842617,0.3543681067232471,677.0725376997885,123.62408265829764,2.073895660112046,14.5625,1.6090277777777773,0.687785808571266,2.398895822812095,197.6,1.7854166666666669,164.4135921595253,1.0,1.0,1.0,1.0,0.0002777777777777,,,0.1375000000000003,,1.5269858950820931,0.1289464675995848,0.046142900823069,0.0232143299911147
sensor,generic,0.2786252572547282,1.1158472129307042,0.3624086020996155,300.4691867836071,30.070753733622116,1.9150799754731256,13.2125,2.1756944444444444,0.6481558539127928,1.9839137609034776,221.93333333333337,0.7548611111111111,152.0382027014025,1.0,1.0,1.0,1.0,0.0002777777777777,,,0.8041666666666667,,1.3487576639779109,0.1287578929979211,0.0460754202685079,0.0224695239673084
sensor,pid,0.2772754575113509,1.1012502727541025,0.3488558710110536,297.1558169475568,25.816614026546937,1.834515558269813,12.988194444444444,2.236805555555556,0.6376065063868895,2.0801397418502443,227.66666666666663,0.6284722222222221,151.81215070809964,1.0,1.0,1.0,1.0,0.0002777777777777,,,0.8041666666666667,,1.3476702393258229,0.1210772305652281,0.0433269305154752,0.0212247147773185
jamming_full,failure_aware,0.1584752320170182,0.2336464471083243,0.2292453562912584,47.43434637565479,44.65719647807429,0.2566526443653798,,0.0,0.2026848335605642,0.0149326587214205,0.0,0.0,129.02254063844944,1.0,0.85,1.0,1.0,0.0002777777777777,1.0,1.0,0.0,,0.0057141169834699,0.0002938876163227,0.0001051663328631,5.758132433945318e-05
jamming_full,generic,0.2786252572547282,0.2839856539362601,0.2647665875953574,1.9242004962738648,-4.973697930760214,0.2979822981935022,0.0,0.0,0.282003146749185,0.2202978415333376,0.0,0.0,87.40386281739084,1.0,0.85,1.0,1.0,0.0002777777777777,1.0,1.0,0.0,,0.0064137081085458,0.0006260172547627,0.0002240173975897,9.596665404865154e-05
jamming_full,pid,0.2772754575113509,0.2847264167325515,0.2649202801920937,2.6875378469840334,-4.455670942024989,0.2982510343470788,0.0,0.0,0.2791293611256735,0.015341601521924,0.0,0.0,87.34811180235332,1.0,0.85,1.0,1.0,0.0002777777777777,1.0,1.0,0.0,,0.0064147371546457,0.0006258727778143,0.0002239656971777,9.64398728298328e-05
jamming_partial,failure_aware,0.1584752320170182,0.2324642800689505,0.1865327634625705,46.68840075945642,17.705056010114472,0.2563105056587857,14.574305555555554,4.364583333333333,0.1921291731569877,0.0149597506041544,0.0,0.0,129.13989000993462,1.0,0.9244735243055556,1.0,1.0,0.0002777777777777,0.9995783545446252,0.9009027777777778,0.1437499999999988,,0.0057151299747137,0.0003316380637533,0.000118675156984,0.0001387997322392
jamming_partial,generic,0.2786252572547282,0.2839814858984581,0.2647646537154289,1.922705359162482,-4.974391149750878,0.2981468376376712,0.0,0.0,0.2820015860684577,0.2202978415333376,0.0,0.0,87.54285115512663,1.0,0.8878125,1.0,1.0,0.0002777777777777,0.9995078823811296,0.9003472222222223,0.1437499999999988,,0.0065060690220212,0.0006206934645165,0.0002221123037169,9.600723283540652e-05
jamming_partial,pid,0.2772754575113509,0.2847223187329538,0.2649183283018516,2.686060720676654,-4.456374018444964,0.2984028915085433,0.0,0.0,0.2791277977947321,0.0154480341291049,0.0,0.0,87.48709709416448,1.0,0.8878125,1.0,1.0,0.0002777777777777,0.9995078823811296,0.9003472222222223,0.1437499999999988,,0.0065065910210418,0.0006206112592856,0.0002220828869529,9.644483838077298e-05
spoofing_strong,failure_aware,0.1584752320170182,0.0867744572367733,0.2184514459410128,-45.2440272668622,37.84607446347161,0.178092150921448,0.0,2.5041666666666655,0.1692777873275466,0.0323783968379248,0.0,0.0,130.19826613989457,1.0,1.0,1.0,1.0,0.0002777777777777,1.0,0.9878472222222222,0.0076388888888884,,0.0058024961777528,0.0003052225995992,0.0001092225045357,9.547465035961344e-05
spoofing_strong,generic,0.2786252572547282,0.2579364481357736,0.2663718747781265,-7.425010624261442,-4.397549531234334,0.313074037778627,0.0,0.8423611111111112,0.2764224697797325,0.2202978415333376,0.0,0.0,87.69647957814855,1.0,1.0,1.0,1.0,0.0002777777777777,1.0,0.9859027777777778,0.0152777777777768,,0.0383729989100758,0.0006518513106474,0.0002332619957608,9.554446524944934e-05
spoofing_strong,pid,0.2772754575113509,0.258745484825417,0.2665190497873765,-6.682562593376165,-3.879068354778312,0.313917751849224,0.0,0.8680555555555552,0.2734909631365722,0.095287486300547,0.0,0.0,87.64073354150118,1.0,1.0,1.0,1.0,0.0002777777777777,1.0,0.9859027777777778,0.0152777777777768,,0.0383636689641468,0.0006521760172664,0.0002333781905321,9.580676797038495e-05
spoofing_subtle,failure_aware,0.1584752320170182,0.0872602603514161,0.2049003723410685,-44.93748003211944,29.29528799697621,0.1780477066309425,0.0,3.4972222222222227,0.1655681406998957,0.0347826523975598,0.0,0.0,130.04894526854218,1.0,1.0,1.0,1.0,0.0002777777777777,0.9996491228070176,0.8956944444444445,0.1256944444444445,,0.0058284153021662,0.0003158965590126,0.0001130421318568,0.0001309902242145
spoofing_subtle,generic,0.2786252572547282,0.2739019684317275,0.2651658695401374,-1.6948928075777103,-4.8303926668945065,0.2958242828242911,0.0,0.0,0.279598787252423,0.2202978415333376,0.0,0.0,87.59663640202854,1.0,1.0,1.0,0.9997916666666666,0.0002777777777777,0.999507433830843,0.8666666666666667,0.1819444444444445,,0.0153417766561903,0.0006303063652649,0.0002255522360712,9.56953225160021e-05
spoofing_subtle,pid,0.2772754575113509,0.2746658912272233,0.2653174636457094,-0.9408207318642016,-4.312424870355714,0.2957833188445874,0.0,0.0,0.276700122176251,0.035565794867425,0.0,0.0,87.54088480819989,1.0,1.0,1.0,0.9997916666666666,0.0002777777777777,0.999507433830843,0.8666666666666667,0.1819444444444445,,0.0153330689923218,0.0006303100568236,0.0002255535570785,9.60967988814881e-05
replay,failure_aware,0.1584752320170182,0.2290604329146847,0.222123315560264,44.540538058969915,40.1630397598917,0.2572305745084852,,0.0,0.1992950068839399,0.0352196736187022,0.0,0.0,131.00295741862018,1.0,1.0,1.0,1.0,0.0002777777777777,0.9996488267081206,0.8941666666666667,0.1631944444444455,,0.0134691914413892,0.0006610173871667,0.0002365420341181,0.0001083860540745
replay,generic,0.2786252572547282,0.6736781191453424,0.3366205625647534,141.78715704351364,20.815129690856644,0.9081853903194858,13.86111111111111,1.6916666666666664,0.4363329609508957,0.2375855778598884,0.0,0.0,89.07445401575929,1.0,1.0,1.0,1.0,0.0002777777777777,0.9996488267081206,0.8963888888888889,0.1631944444444455,,0.0262177883407234,0.0006937963508562,0.0002482718356301,0.0001152251116057
replay,pid,0.2772754575113509,0.6468177041784526,0.317506712936289,133.2769090265028,14.509810897202035,0.7702004666381127,11.681944444444444,1.5465277777777788,0.4190687693906271,0.0153142833789422,0.0,0.0,88.81604572940675,1.0,1.0,1.0,1.0,0.0002777777777777,0.9996488267081206,0.89625,0.1631944444444455,,0.0064646741449901,0.0006930591178592,0.0002480080201903,0.0001131445657431
compound,failure_aware,0.1584752320170182,0.1610539074975877,0.2087730731164233,1.62744827404572,31.738876794423568,0.3354107324396999,0.0,1.1256944444444443,0.1850622673609835,0.0149390905028803,0.0,0.0,135.0529972679079,1.0,0.85,1.0,1.0,0.0002777777777777,1.0,0.9999305555555555,0.0,,0.0057195263445894,0.0003077830029288,0.0001101387331002,5.84434949816576e-05
compound,generic,0.2786252572547282,0.3916222810127332,0.2488087392835015,40.55562012198355,-10.701080941146332,0.7189787144164782,11.35625,1.6416666666666655,0.3224704728323381,0.2202978415333376,0.0,0.0,96.36449516994834,1.0,0.85,1.0,1.0,0.0002777777777777,1.0,0.9999305555555555,0.0,,0.0407267843008168,0.0006533256784427,0.0002337895915005,0.0001108327582869
compound,pid,0.2772754575113509,0.39610064950086,0.2440689052359998,42.85501215290336,-11.975802737729945,0.6299698732457609,11.25138888888889,1.5027777777777775,0.31935595518273,0.0152813146009094,0.0,0.0,96.19453577606382,1.0,0.85,1.0,1.0,0.0002777777777777,1.0,0.9999305555555555,0.0,,0.0063962098866573,0.0006657197502443,0.0002382247531345,0.0001135991634224
